BANK,IFSC,MICR CODE,BRANCH,CITY,DISTRICT,STATE
SBI,SBIN0000100,804002002,JEHANABAD,JEHANABAD,JEHANABAD,BIHAR
SBI,SBIN0000101,764002001,JEYPORE,JEYPORE,KORAPUT,ODISHA
SBI,SBIN0000102,284002002,JHANSI,JHANSI,JHANSI,UTTAR PRADESH
SBI,SBIN0000103,721002890,JHARGRAM,JHARGRAM,PASCHIM MEDINIPUR,WEST BENGAL
SBI,SBIN0000104,785002002,JORHAT,JORHAT,JORHAT,ASSAM
SBI,SBIN0000105,734002601,KALIMPONG,DARJEELING,DARJEELING,WEST BENGAL
SBI,SBIN0000106,713002109,KALNA,BARDDHAMAN,BARDHAMAN,WEST BENGAL
SBI,SBIN0000107,208002002,KANPUR MAIN,KANPUR,KANPUR NAGAR,UTTAR PRADESH
SBI,SBIN0000108,208002016,SHYAM NAGAR,KANPUR,KANPUR NAGAR,UTTAR PRADESH
SBI,SBIN0000109,788002102,KARIMGANJ,KARIMGANJ,KARIMGANJ,ASSAM
SBI,SBIN0000110,210002020,KARWI,KARWI,BANDA,UTTAR PRADESH
SBI,SBIN0000111,713002111,KATWA,KATWA,BARDHAMAN,WEST BENGAL
SBI,SBIN0000112,754002211,KENDRAPARA,KENDRAPARA,KENDRAPARA,ODISHA
SBI,SBIN0000113,758002113,KEONHJAR,KEONJHAR,KEONJHAR,ODISHA
SBI,SBIN0000114,851002002,KHAGARIA,KHAGARIA,KHAGARIA,BIHAR
SBI,SBIN0000115,272002054,KHALILABAD,KHALILABAD,SANT KABIR NAGAR,UTTAR PRADESH
SBI,SBIN0000116,751002048,KHURDA,KHURDA,KHURDA,ODISHA
SBI,SBIN0000117,855002002,KISANGANJ,KISHANGANJ,KISHANGANJ,BIHAR
SBI,SBIN0000118,825002102,JHUMRI TILAYA,JHUMRI TELAIYA,KODERMA,JHARKHAND
SBI,SBIN0000119,783002302,KOKRAJHAR,KOKRAJHAR,KOKRAJHAR,ASSAM
SBI,SBIN0000120,285002005,KONCH,KONCH,JALAUN,UTTAR PRADESH
SBI,SBIN0000121,764002004,KORAPUT,KORAPUT,KORAPUT,ODISHA
SBI,SBIN0000122,741002008,KRISHNAGAR,KRISHNAGAR,NADIA,WEST BENGAL
SBI,SBIN0000123,734002602,KURSEONG,KURSEONG,DARJEELING,WEST BENGAL
SBI,SBIN0000124,284002025,LALITPUR,LALITPUR,LALITPUR,UTTAR PRADESH
SBI,SBIN0000125,226002002,LUCKNOW MAIN BR.,LUCKNOW,LUCKNOW,UTTAR PRADESH
SBI,SBIN0000126,852002202,MADHIPURA,MADHEPURA,MADHEPURA,BIHAR
SBI,SBIN0000127,845002607,MADHUBANI,MADHUBANI,MADHUBANI,BIHAR
SBI,SBIN0000128,210002010,MAHOBA,MAHOBA,MAHOBA,UTTAR PRADESH
SBI,SBIN0000129,732002102,MALDA,MALDA,MALDA,WEST BENGAL
SBI,SBIN0000130,784002102,MANGALDAI,MANGALDAI,DARRANG,ASSAM
SBI,SBIN0000131,284002012,MAURANIPUR,MAURANIPUR,JHANSI,UTTAR PRADESH
SBI,SBIN0000132,721002302,MIDNAPORE,MIDNAPUR,PASCHIM MEDINIPUR,WEST BENGAL
SBI,SBIN0000133,841002601,MIRGANJ,MIRGANJ,GOPALGANJ,BIHAR
SBI,SBIN0000134,231002002,MIRZAPUR,MIRZAPUR,MIRZAPUR,UTTAR PRADESH
SBI,SBIN0000135,803002701,MOKAMA,PATNA,PATNA,BIHAR
SBI,SBIN0000136,811002202,MUNGER,MUNGHYR,MUNGER,BIHAR
SBI,SBIN0000137,845002002,MOTIHARI,MOTIHARI,EAST CHAMPARAN,BIHAR
SBI,SBIN0000138,842002002,MUZAFFARPUR,MUZAFFARPUR,MUZAFFARPUR,BIHAR
SBI,SBIN0000139,211002020,NAINI,ALLAHABAD,ALLAHABAD,UTTAR PRADESH
